fn	tips	junctions
3-10-22-Schnable-Sorghum_310-217-42-1-BTx623_2022-03-11_15-12-11.064_5209100_Vis_SV_0.png	[]	[]
3-10-22-Schnable-Sorghum_310-217-42-1-BTx623_2022-03-11_15-12-11.064_5209100_Vis_SV_36.png	[]	[]
3-10-22-Schnable-Sorghum_310-217-42-1-BTx623_2022-03-11_15-12-11.064_5209100_Vis_SV_72.png	[]	[]
3-10-22-Schnable-Sorghum_310-217-42-1-BTx623_2022-03-11_15-12-11.064_5209100_Vis_SV_108.png	[[3077, 6089], [1269, 5359], [3219, 5317], [1507, 4609], [3675, 4437], [661, 3654], [3667, 4080], [1335, 3750], [2961, 3008]]	[]
3-10-22-Schnable-Sorghum_310-217-42-1-BTx623_2022-03-11_15-12-11.064_5209100_Vis_SV_144.png	[]	[]
3-10-22-Schnable-Sorghum_310-217-42-1-BTx623_2022-03-11_15-12-11.064_5209100_Vis_SV_216.png	[[1611, 6141], [2871, 5227], [1629, 5316], [3145, 4618], [1235, 4670], [1499, 4154], [3055, 3743], [1653, 3024]]	[]
3-10-22-Schnable-Sorghum_310-217-42-1-BTx623_2022-03-11_15-12-11.064_5209100_Vis_SV_252.png	[[1425, 6011], [3275, 5319], [1357, 5331], [3357, 4705], [801, 4562], [2855, 3590], [941, 4120], [3395, 3752], [1491, 3033]]	[]
3-10-22-Schnable-Sorghum_310-217-42-1-BTx623_2022-03-11_15-12-11.064_5209100_Vis_SV_288.png	[]	[]
3-10-22-Schnable-Sorghum_310-217-42-1-BTx623_2022-03-11_15-12-11.064_5209100_Vis_SV_324.png	[]	[]
3-10-22-Schnable-Sorghum_310-217-42-1-BTx623_2022-03-11_15-12-11.064_5209100_Vis_TV_90.png	[]	[]
