synthetic_plant_0	7
synthetic_plant_1	12
synthetic_plant_2	13
synthetic_plant_3	9
synthetic_plant_4	13
synthetic_plant_5	12
synthetic_plant_6	13
synthetic_plant_7	12
synthetic_plant_8	13
synthetic_plant_9	5
synthetic_plant_10	13
synthetic_plant_11	14
synthetic_plant_12	5
synthetic_plant_13	6
synthetic_plant_14	11
synthetic_plant_15	8
synthetic_plant_16	14
synthetic_plant_17	7
synthetic_plant_18	14
synthetic_plant_19	6
synthetic_plant_20	5
synthetic_plant_21	12
synthetic_plant_22	12
synthetic_plant_23	9
synthetic_plant_24	13
synthetic_plant_25	7
synthetic_plant_26	9
synthetic_plant_27	7
synthetic_plant_28	8
synthetic_plant_29	14
synthetic_plant_30	14
synthetic_plant_31	5
synthetic_plant_32	10
synthetic_plant_33	7
synthetic_plant_34	14
synthetic_plant_35	6
synthetic_plant_36	5
synthetic_plant_37	12
synthetic_plant_38	8
synthetic_plant_39	12
synthetic_plant_40	15
synthetic_plant_41	15
synthetic_plant_42	11
synthetic_plant_43	7
synthetic_plant_44	14
synthetic_plant_45	8
synthetic_plant_46	5
synthetic_plant_47	8
synthetic_plant_48	7
synthetic_plant_49	5
synthetic_plant_50	9
synthetic_plant_51	5
synthetic_plant_52	10
synthetic_plant_53	13
synthetic_plant_54	14
synthetic_plant_55	6
synthetic_plant_56	12
synthetic_plant_57	14
synthetic_plant_58	14
synthetic_plant_59	7
synthetic_plant_60	13
synthetic_plant_61	10
synthetic_plant_62	5
synthetic_plant_63	12
synthetic_plant_64	9
synthetic_plant_65	5
synthetic_plant_66	6
synthetic_plant_67	8
synthetic_plant_68	15
synthetic_plant_69	6
synthetic_plant_70	9
synthetic_plant_71	10
synthetic_plant_72	9
synthetic_plant_73	12
synthetic_plant_74	11
synthetic_plant_75	10
synthetic_plant_76	12
synthetic_plant_77	7
synthetic_plant_78	13
synthetic_plant_79	14
synthetic_plant_80	12
synthetic_plant_81	14
synthetic_plant_82	6
synthetic_plant_83	13
synthetic_plant_84	15
synthetic_plant_85	14
synthetic_plant_86	8
synthetic_plant_87	5
synthetic_plant_88	14
synthetic_plant_89	5
synthetic_plant_90	13
synthetic_plant_91	9
synthetic_plant_92	12
synthetic_plant_93	11
synthetic_plant_94	13
synthetic_plant_95	6
synthetic_plant_96	11
synthetic_plant_97	10
synthetic_plant_98	5
synthetic_plant_99	13
