3-10-22-Schnable-Sorghum_310-201-9-2-44M_2022-03-11_14-35-56.963_5207500	5
3-10-22-Schnable-Sorghum_310-202-11-1-SC_500_2022-03-11_14-37-52.731_5207600	9
3-10-22-Schnable-Sorghum_310-203-11-2-SC_500_2022-03-11_14-40-14.670_5207700	9
3-10-22-Schnable-Sorghum_310-204-16-1-P850029_2022-03-11_14-42-08.383_5207800	-1
3-10-22-Schnable-Sorghum_310-205-16-2-P850029_2022-03-11_14-44-09.928_5207900	-1
3-10-22-Schnable-Sorghum_310-206-17-6-AS_4601_Pawaga_2022-03-11_14-46-07.851_5208000	10
3-10-22-Schnable-Sorghum_310-207-17-7-AS_4601_Pawaga_2022-03-11_14-49-30.984_5208100	9
3-10-22-Schnable-Sorghum_310-208-17-8-AS_4601_Pawaga_2022-03-11_14-51-06.617_5208200	-1
3-10-22-Schnable-Sorghum_310-211-22-2-R_LINE_AR2002_2022-03-11_14-59-49.733_5208500	-1
3-10-22-Schnable-Sorghum_310-212-23-1-SC_1439_2022-03-11_15-01-44.995_5208600	-1
3-10-22-Schnable-Sorghum_310-213-23-2-SC_1439_2022-03-11_15-04-00.664_5208700	-1
3-10-22-Schnable-Sorghum_310-214-29-1-Red_Amber_2022-03-11_15-05-53.607_5208800	4
3-10-22-Schnable-Sorghum_310-215-30-1-9E_2022-03-11_15-08-08.448_5208900	9
3-10-22-Schnable-Sorghum_310-216-30-2-9E_2022-03-11_15-10-17.297_5209000	6
3-10-22-Schnable-Sorghum_310-217-42-1-BTx623_2022-03-11_15-12-11.064_5209100	9
3-10-22-Schnable-Sorghum_310-218-42-2-BTx623_2022-03-11_15-15-03.620_5209200	9
3-10-22-Schnable-Sorghum_310-219-42-3-BTx623_2022-03-11_15-17-51.394_5209300	10
3-10-22-Schnable-Sorghum_310-220-42-4-BTx623_2022-03-11_15-20-53.810_5209400	11
3-10-22-Schnable-Sorghum_310-221-42-5-BTx623_2022-03-11_15-36-54.627_5209500	-1
3-10-22-Schnable-Sorghum_310-222-42-6-BTx623_2022-03-11_15-38-50.024_5209600	-1
3-10-22-Schnable-Sorghum_310-223-42-7-BTx623_2022-03-11_15-41-11.553_5209700	9
3-10-22-Schnable-Sorghum_310-224-42-8-BTx623_2022-03-11_15-43-19.315_5209800	-1
